"סכום  לתשלום","סה"כ  מסגרות","מספר מסגרות  ברשויות אחרות","מספר מסגרות  ברשות הנבחרת","סה"כ  מושמים","מספר מושמים  ברשויות אחרות","מספר מושמים  ברשות הנבחרת","סעיף תקציבי","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
9086,1,0,1,7,0,7,"1039810  שירותים בקהילה שחא","תחנה לטיפול המשפחה","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
43786,1,1,0,2,2,0,"1165600  מעונות חסות","פנימיה","חוץ ביתי","חסות הנוער","מינהל שלם"
40056.8,1,1,0,2,2,0,"1165600  מעונות חסות","קהילה טיפולית","חוץ ביתי","חסות הנוער","מינהל שלם"
23998.93,1,0,1,15,0,15,"1175320  טיפול בנערות במצוקה","בית חם","בקהילה","נוער וצעירים","מינהל שלם"
457,1,1,0,1,1,0,"1175340  נוער חרידי מנותק","מועדון/מרכז קהילתי","בקהילה","נוער וצעירים","מינהל שלם"
3773.01,1,0,1,4,0,4,"1175320  טיפול בנערות במצוקה","שילוב בתעסוקה","בקהילה","נוער וצעירים","מינהל שלם"
6156,1,0,1,6,0,6,"1175330  יתד תכניות לצעירים","שילוב בתעסוקה","בקהילה","נוער וצעירים","מינהל שלם"
33754.77,3,0,3,41,0,41,"1175060  נפגעי התמכר.טיפול בק","טיפול יום","בקהילה","נפגעי התמכרויות","מינהל שלם"
10404,1,0,1,9,0,9,"1175320  טיפול בנערות במצוקה","בית חם","בקהילה","נשים ונערות","מינהל שלם"
19455.49,5,5,0,6,6,0,"1165532  חוץ ביתי-נוצץ","דירת המשך","חוץ ביתי","נשים ונערות","מינהל שלם"
6490,1,1,0,2,2,0,"1175411  מיתר","טיפול יום","בקהילה","שיקום הנוער","מינהל שלם"
